Domain,Contact,Rewards,Amount,Platform,Private/Public
airtable.com,security@airtable.com,Yes,,Bugcrowd,public
amplitude.com,security@amplitude.com,Yes,,Bugcrowd,public
asana.com,security@asana.com,Yes,,Bugcrowd,public
canva.com,security@canva.com,Yes,,Bugcrowd,public
cloudflare.com,security@cloudflare.com,Yes,,HackerOne,public
frontapp.com,security@front.com,Yes,,HackerOne,public
paypal.com,HackerOne,Yes,,HackerOne,public
public.com,security@public.com,Yes,,HackerOne,public
sumup.com,bugbounty@sumup.com,Yes,,HackerOne,public
holidu.com,security@holidu.com,Yes,,HackerOne (in policy),private
interdiscount.ch,security@coop.ch,Yes,,OpenBugBounty (in policy),private
accessowl.com,,Yes,,,
agicap.com,,Yes,,,
apicbase.com,,Yes,,,
articulate.com,,Yes,,,
hubstaff.com,security@hubstaff.com,Yes,,,
keboola.com,security@keboola.com,Yes,,,
luma.com,security@luma.com,Yes,,,
intercom.com,security@intercom.com,No,,Bugcrowd,public
recordedfuture.com,Bugcrowd,No,,Bugcrowd,public
webflow.com,Bugcrowd,No,,Bugcrowd,public
dropcontact.com,security@dropcontact.com,,,HackerOne,public
hubspot.com,security-notifications@hubspot.com,No,,HackerOne,public
krisp.ai,HackerOne,No,,HackerOne,public
mercadolibre.com,bugbounty@mercadolibre.com,No,,HackerOne,public
mixpanel.com,bugbounty@mixpanel.com,No,,HackerOne,public
newrelic.com,HackerOne,No,,HackerOne,public
postman.com,security@postman.com,No,,HackerOne,public
stripe.com,HackerOne,No,,HackerOne,public
veeam.com,security@veeam.com,No,,HackerOne,public
sendpulse.com,support@sendpulse.com,No,,OpenBugBounty,public
fed10.ai,security@fed10.ai,No,,,
feedly.com,security@feedly.com,No,,,
forte.co.nz,hi@ghost.st,No,,,
gdenergyproducts.com,user@example.com,No,,,
gocardless.com,vuln-disc@gocardless.com,No,,,
goflink.com,it-security@goflink.com,No,,,
gotobeat.com,security@gotobeat.com,No,,,
granola.ai,security@granola.so,No,,,
hadrian.io,security@hadrian.io,No,,,
handelsblatt.com,security@handelsblattgroup.com,No,,,
heygen.com,security@heygen.com,No,,,
higgsfield.ai,security@higgsfield.ai,No,,,
hundredx.com,chris.cowan@hundredx.com,No,,,
hushh.ai,contact form,No,,,
incident.io,security@incident.io,No,,,
infakt.pl,bugbounty@infakt.pl,No,,,
instrumentl.com,security@instrumentl.com,No,,,
intacct.com,security@sage.com,No,,,
joinotto.com,hello@joinotto.com,No,,,
jotform.com,VDP page,No,,,
karbonhq.com,security@karbonhq.com,No,,,
kobana.com.br,seguranca@kobana.com.br,No,,,
lawvu.com,security@lawvu.com,No,,,
leadmagic.io,security@leadmagic.io,No,,,
letsweel.com,help@letsweel.com,No,,,
linear.app,security@linear.app,No,,,
lockchain.ai,security@lockchain.ai,No,,,
lovable.dev,vulnerability-disclosure@lovable.dev,No,,,
ludusengine.com,security@ludusengine.com,No,,,
