email,domain,phase,source_url
%20eurep@nativo.com,nativo.com,consensus-tier-B,https://ads.life360.com/
%20gdpr@ontraport.com,ontraport.com,consensus-tier-B,https://ontraport.com/legal
%20press@ypulse.com,ypulse.com,consensus-tier-B,https://www.ypulse.com/contact/
%20support@brightidea.com,brightidea.com,consensus-tier-B,https://www.brightidea.com/contact/
__sales@clickup.com,clickup.com,consensus-tier-B,https://clickup.com/security
abuse@1000ps.at,1000ps.at,tier1-2-smtp,
abuse@100hires.com,100hires.com,tier1-2-smtp,
abuse@1up.ai,1up.ai,tier1-2-smtp,
abuse@2cloudnine.com,2cloudnine.com,tier1-2-smtp,
abuse@3doptix.com,3doptix.com,tier1-2-smtp,
abuse@99c.co.za,99c.co.za,consensus-tier-A,https://www.99c.agency/privacy-policy/
abuse@abacum.ai,abacum.ai,tier1-2-smtp,
abuse@abill.io,abill.io,tier1-2-smtp,
abuse@abundolive.se,abundolive.se,tier1-2-smtp,
abuse@aceworks.ai,aceworks.ai,tier1-2-smtp,
abuse@adalo.com,adalo.com,tier1-2-smtp,
abuse@adlabs.app,adlabs.app,tier1-2-smtp,
abuse@admanage.ai,admanage.ai,tier1-2-smtp,
abuse@adomik.com,adomik.com,tier1-2-smtp,
abuse@adopt.ai,adopt.ai,tier1-2-smtp,
abuse@adplenty.io,adplenty.io,tier1-2-smtp,
abuse@adplist.org,adplist.org,tier1-2-smtp,
abuse@adthena.com,adthena.com,tier1-2-smtp,
abuse@advally.com,advally.com,tier1-2-smtp,
abuse@agency.inc,agency.inc,tier1-2-smtp,
abuse@agrexai.com,agrexai.com,tier1-2-smtp,
abuse@ahaslides.com,ahaslides.com,tier1-2-smtp,
abuse@aimfox.com,aimfox.com,tier1-2-smtp,
abuse@airbridge.io,airbridge.io,tier1-2-smtp,
abuse@airframe.ai,airframe.ai,tier1-2-smtp,
abuse@airsaas.io,airsaas.io,tier1-2-smtp,
abuse@aiseo.ai,aiseo.ai,tier1-2-smtp,
abuse@aivideo.com,aivideo.com,tier1-2-smtp,
abuse@akamai.com,akamai.com,security.txt,https://akamai.com/.well-known/security.txt
abuse@akiflow.com,akiflow.com,tier1-2-smtp,
