email,primary_domain,phases,source_count,sample_source_url
%20eurep@nativo.com,nativo.com,consensus-tier-B,1,https://ads.life360.com/
%20gdpr@ontraport.com,ontraport.com,consensus-tier-B,1,https://ontraport.com/legal
%20press@ypulse.com,ypulse.com,consensus-tier-B,1,https://www.ypulse.com/contact/
%20support@brightidea.com,brightidea.com,consensus-tier-B,1,https://www.brightidea.com/contact/
07659b1c@forensics.dmarc-report.com,leadfeeder.com,tier1-2-dns:dmarc_ruf,1,
07659b1c@mxtoolbox.dmarc-report.com,leadfeeder.com,tier1-2-dns:dmarc_rua,1,
0bc9cebf61@rua.easydmarc.us,homeric.ai,tier1-2-dns:dmarc_rua,1,
0bc9cebf61@ruf.easydmarc.us,homeric.ai,tier1-2-dns:dmarc_ruf,1,
13bdc01d@forensics.dmarc-report.com,epsilon3.io,tier1-2-dns:dmarc_ruf,1,
13bdc01d@mxtoolbox.dmarc-report.com,epsilon3.io,tier1-2-dns:dmarc_rua,1,
150a814e81@rua.easydmarc.us,abclegal.com,tier1-2-dns:dmarc_rua,1,
150a814e81@ruf.easydmarc.us,abclegal.com,tier1-2-dns:dmarc_ruf,1,
171f03e3b4@rua.easydmarc.us,atomic.supply,tier1-2-dns:dmarc_rua,1,
171f03e3b4@ruf.easydmarc.us,atomic.supply,tier1-2-dns:dmarc_ruf,1,
1814-788-1025-f@asdmhw.com,eyewa.com,tier1-2-dns:dmarc_ruf,1,
1814-788-1025@asdmhw.com,eyewa.com,tier1-2-dns:dmarc_rua,1,
1900503@partner.skcc.com,skinnovation.com,tier1-2-dns:soa_rname,1,
1901099@dmarc.mailgun.org,webflow.com,tier1-2-dns:dmarc_rua|tier1-2-dns:dmarc_ruf,2,
1944661afd@rua.easydmarc.us,onepay.com,tier1-2-dns:dmarc_rua,1,
1944661afd@ruf.easydmarc.us,onepay.com,tier1-2-dns:dmarc_ruf,1,
1e621d0a@forensics.dmarc-report.com,trepp.com,tier1-2-dns:dmarc_ruf,1,
1e621d0a@mxtoolbox.dmarc-report.com,trepp.com,tier1-2-dns:dmarc_rua,1,
1fae3dff@forensics.dmarc-report.com,sectionai.com,tier1-2-dns:dmarc_ruf,1,
1fae3dff@mxtoolbox.dmarc-report.com,sectionai.com,tier1-2-dns:dmarc_rua,1,
1nt8ifyfw9@reports.palisade.email,hellodarwin.com,tier1-2-dns:dmarc_rua,1,
20b97a47de@rua.easydmarc.asia,similarweb.com,tier1-2-dns:dmarc_rua,1,
20b97a47de@ruf.easydmarc.asia,similarweb.com,tier1-2-dns:dmarc_ruf,1,
219acd7f@forensics.dmarc-report.com,collegepulse.com,tier1-2-dns:dmarc_ruf,1,
219acd7f@mxtoolbox.dmarc-report.com,collegepulse.com,tier1-2-dns:dmarc_rua,1,
2471c57c@forensics.dmarc-report.com,kevel.com,tier1-2-dns:dmarc_rua,1,
2471c57c@mxtoolbox.dmarc-report.com,kevel.com,tier1-2-dns:dmarc_rua,1,
2638158f@forensics.dmarc-report.com,akiflow.com,tier1-2-dns:dmarc_ruf,1,
