domain,email,tier,tier_label
1000ps.at,abuse@1000ps.at,S3,Abuse / trust / safety
100hires.com,abuse@100hires.com,S3,Abuse / trust / safety
1up.ai,security@1up.ai,S2,Security
2cloudnine.com,abuse@2cloudnine.com,S3,Abuse / trust / safety
3doptix.com,abuse@3doptix.com,S3,Abuse / trust / safety
3i.ai,questions@3i.ai,S9,Generic info / contact
4degrees.ai,info@4degrees.ai,S9,Generic info / contact
58pic.com,feedback@58pic.com,S6,Reports / feedback
5centscdn.net,support@5centscdn.net,S8
8m.eu,info@8m.eu,S9,Generic info / contact
99c.co.za,abuse@99c.co.za,S3,Abuse / trust / safety
aajil.sa,info@aajil.sa,S9
abacum.ai,security@abacum.ai,S2,Security
abatable.com,dmarc-reports@abatable.com,Sx-c,DMARC reporting
abclegal.com,internationalinfo@abclegal.com,S9,Generic info / contact
abill.io,abuse@abill.io,S3,Abuse / trust / safety
absoluteinvestimentos.com.br,cv@absoluteinvestimentos.com.br,Sx-b,Single-word local
abundolive.se,abuse@abundolive.se,S3,Abuse / trust / safety
accelera.tech,info@accelera.tech,S9,Generic info / contact
accessowl.com,security@accessowl.com,S2,Security
acclinate.com,support@acclinate.com,S8,Support / help
aceworks.ai,abuse@aceworks.ai,S3,Abuse / trust / safety
aclarian.com,support@aclarian.com,S8,Support / help
adalo.com,security@adalo.com,S2,Security
adaptic.no,mail@adaptic.no,Sx-b,Single-word local
adlabs.app,abuse@adlabs.app,S3,Abuse / trust / safety
admanage.ai,abuse@admanage.ai,S3,Abuse / trust / safety
adologyai.com,hello@adologyai.com,S9,Generic info / contact
adomik.com,security@adomik.com,S2,Security
adopt.ai,security@adopt.ai,S2,Security
adp.com,vulnerabilityreporting@adp.com,S0
adplenty.io,abuse@adplenty.io,S3,Abuse / trust / safety
adplist.org,abuse@adplist.org,S3,Abuse / trust / safety
adscale.com,support@adscale.com,S8
adthena.com,abuse@adthena.com,S3,Abuse / trust / safety
advally.com,abuse@advally.com,S3,Abuse / trust / safety
adverteyes.ai,info@adverteyes.ai,S9,Generic info / contact
adzen.ai,support@adzen.ai,S8
aeroventures.com,dmarc-reports@aeroventures.com,Sx-c,DMARC reporting
affinity.co,support@affinity.co,S8,Support / help
affise.com,support@affise.com,S8
agency.inc,abuse@agency.inc,S3,Abuse / trust / safety
agenticflow.ai,support@agenticflow.ai,S8,Support / help
agentmail.to,dmarc@agentmail.to,Sx-c,DMARC reporting
agicap.com,bugbounty@agicap.com,S0,Bug bounty / VDP
agrexai.com,abuse@agrexai.com,S3,Abuse / trust / safety
agrisafe.agr.br,ola@agrisafe.agr.br,Sx-b,Single-word local
ahaslides.com,abuse@ahaslides.com,S3,Abuse / trust / safety
aheadcomputing.com,info@aheadcomputing.com,S9
aibox.ai,security@aibox.ai,S2
aico.swiss,support@aico.swiss,S8
aimfox.com,abuse@aimfox.com,S3,Abuse / trust / safety
airbridge.io,abuse@airbridge.io,S3,Abuse / trust / safety
airframe.ai,abuse@airframe.ai,S3,Abuse / trust / safety
airpay.co.in,customercare@airpay.co.in,S8,Support / help
airsaas.io,security@airsaas.io,S2,Security
airtable.com,security@airtable.com,S2,Security
aiseo.ai,abuse@aiseo.ai,S3,Abuse / trust / safety
aivideo.com,abuse@aivideo.com,S3,Abuse / trust / safety
akamai.com,security@akamai.com,S2,Security
akiflow.com,abuse@akiflow.com,S3,Abuse / trust / safety
alamah.om,abuse@alamah.om,S3,Abuse / trust / safety
alchemy.com,certmaster@alchemy.com,S1,PSIRT / CERT / SOC
alegra.com,abuse@alegra.com,S3,Abuse / trust / safety
aleluya.com,abuse@aleluya.com,S3,Abuse / trust / safety
alex.com,support@alex.com,S8
algoed.co,my_dmarc_report@algoed.co,Sx-c,DMARC reporting
algolia.com,security@algolia.com,S2,Security
allaboard.eu,privacy@allaboard.eu,S4,Privacy / DPO / GDPR
allbridge.io,support@allbridge.io,S8
allears.ai,abuse@allears.ai,S3,Abuse / trust / safety
allegrow.co,info@allegrow.co,S9,Generic info / contact
allianceabroad.com,africainfo@allianceabroad.com,S9,Generic info / contact
allocate.co,security@allocate.co,S2,Security
alloy.app,security@alloy.app,S2,Security
allunite.com,info@allunite.com,S9,Generic info / contact
alma.food,abuse@alma.food,S3,Abuse / trust / safety
alphavantage.co,abuse@alphavantage.co,S3,Abuse / trust / safety
alpic.ai,charles@alpic.ai,Sx-b,Single-word local
altertable.ai,security@altertable.ai,S2,Security
altfndata.com,abuse@altfndata.com,S3,Abuse / trust / safety
altuspower.com,security@altuspower.com,S2,Security
amalgamrx.com,contact@amalgamrx.com,S9
amass.tech,abuse@amass.tech,S3,Abuse / trust / safety
ambarpartners.com,security@ambarpartners.com,S2,Security
amityage.com,hello@amityage.com,S9,Generic info / contact
ammp.io,security@ammp.io,S2,Security
amove.io,contact@amove.io,S9
amperity.com,security@amperity.com,S2
amplifier.com,security@amplifier.com,S2,Security
amplitude.com,security@amplitude.com,S2,Security
amt.ai,abuse@amt.ai,S3,Abuse / trust / safety
and.com,abuse@and.com,S3,Abuse / trust / safety
andcapitalventures.com,chris@andcapitalventures.com,Sx-b,Single-word local
ando.so,abuse@ando.so,S3,Abuse / trust / safety
aneon.at,security@aneon.at,S2,Security
animaj.com,security@animaj.com,S2,Security
anomalycapital.com,ir@anomalycapital.com,Sx-b,Single-word local
antbuddy.com,abuse@antbuddy.com,S3,Abuse / trust / safety
antimetal.com,security@antimetal.com,S2,Security
antler.co,abuse@antler.co,S3,Abuse / trust / safety
apaleo.com,security@apaleo.com,S2,Security
aparti.ai,security@aparti.ai,S2,Security
