email,domain,phase,source_url,reason
07659b1c@forensics.dmarc-report.com,leadfeeder.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
07659b1c@mxtoolbox.dmarc-report.com,leadfeeder.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
0bc9cebf61@rua.easydmarc.us,homeric.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
0bc9cebf61@ruf.easydmarc.us,homeric.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
13bdc01d@forensics.dmarc-report.com,epsilon3.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
13bdc01d@mxtoolbox.dmarc-report.com,epsilon3.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
150a814e81@rua.easydmarc.us,abclegal.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
150a814e81@ruf.easydmarc.us,abclegal.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
171f03e3b4@rua.easydmarc.us,atomic.supply,tier1-2-dns:dmarc_rua,,host-not-same-domain
171f03e3b4@ruf.easydmarc.us,atomic.supply,tier1-2-dns:dmarc_ruf,,host-not-same-domain
1814-788-1025-f@asdmhw.com,eyewa.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
1814-788-1025@asdmhw.com,eyewa.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
1900503@partner.skcc.com,skinnovation.com,tier1-2-dns:soa_rname,,host-not-same-domain
1901099@dmarc.mailgun.org,webflow.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
1901099@dmarc.mailgun.org,webflow.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
1944661afd@rua.easydmarc.us,onepay.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
1944661afd@ruf.easydmarc.us,onepay.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
1e621d0a@forensics.dmarc-report.com,trepp.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
1e621d0a@mxtoolbox.dmarc-report.com,trepp.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
1fae3dff@forensics.dmarc-report.com,sectionai.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
1fae3dff@mxtoolbox.dmarc-report.com,sectionai.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
1nt8ifyfw9@reports.palisade.email,hellodarwin.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
20b97a47de@rua.easydmarc.asia,similarweb.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
20b97a47de@ruf.easydmarc.asia,similarweb.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
219acd7f@forensics.dmarc-report.com,collegepulse.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
219acd7f@mxtoolbox.dmarc-report.com,collegepulse.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
2471c57c@forensics.dmarc-report.com,kevel.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
2471c57c@mxtoolbox.dmarc-report.com,kevel.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
2638158f@forensics.dmarc-report.com,akiflow.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
2638158f@mxtoolbox.dmarc-report.com,akiflow.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
2d3e9276@mxtoolbox.dmarc-report.com,fourthwall.tv,tier1-2-dns:dmarc_rua,,host-not-same-domain
2d69614e24@rua.easydmarc.eu,luminovo.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
2d69614e24@ruf.easydmarc.eu,luminovo.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
3052e5e6@forensics.dmarc-report.com,adverteyes.ai,tier1-2-dns:dmarc_ruf,,host-not-same-domain
3052e5e6@mxtoolbox.dmarc-report.com,adverteyes.ai,tier1-2-dns:dmarc_rua,,host-not-same-domain
32d204ce11@rua.easydmarc.eu,restream.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
32d204ce11@ruf.easydmarc.eu,restream.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
34629306d8@rua.easydmarc.us,cloudchipr.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
34629306d8@ruf.easydmarc.us,cloudchipr.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
3bd474c3@forensics.dmarc-report.com,teapot.sk,tier1-2-dns:dmarc_ruf,,host-not-same-domain
3bd474c3@mxtoolbox.dmarc-report.com,teapot.sk,tier1-2-dns:dmarc_rua,,host-not-same-domain
40f80f7aca@rua.easydmarc.asia,cizgi.net,tier1-2-dns:dmarc_rua,,host-not-same-domain
40f80f7aca@ruf.easydmarc.asia,cizgi.net,tier1-2-dns:dmarc_ruf,,host-not-same-domain
507faee3@forensics.dmarc-report.com,seismic.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
507faee3@mxtoolbox.dmarc-report.com,seismic.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
5699e3095d56.a@dmarcinput.com,flashbots.net,tier1-2-dns:dmarc_rua,,host-not-same-domain
5699e3095d56.f@dmarcinput.com,flashbots.net,tier1-2-dns:dmarc_ruf,,host-not-same-domain
5867fb80@forensics.dmarc-report.com,flashvote.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
5a7dabcd@forensics.dmarc-report.com,pearldiver.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
5a7dabcd@mxtoolbox.dmarc-report.com,pearldiver.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
5c91091@dmarc.mailgun.org,whop.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
5c91091@dmarc.mailgun.org,whop.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
5dcd66004a901@ag.dmarcly.com,idc.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
5dcd66004a901@fo.dmarcly.com,idc.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
5f6b66f8d18e1@ag.dmarcly.com,drugbank.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
5f6b66f8d18e1@fo.dmarcly.com,drugbank.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
5f7cfc2bd4@rua.easydmarc.us,kashable.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
5f7cfc2bd4@ruf.easydmarc.us,kashable.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
603d1dd59ff53@ag.dmarcly.com,cbinsights.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
603d1dd59ff53@fo.dmarcly.com,cbinsights.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
60805310403ca@ag.dmarcly.com,amperity.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
60805310403ca@fo.dmarcly.com,amperity.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
608608b0593b8@ag.dmarcly.com,everymanjack.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
608608b0593b8@fo.dmarcly.com,everymanjack.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
61b93c1fb310e@ag.dmarcly.com,bellwetherit.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
61b93c1fb310e@fo.dmarcly.com,bellwetherit.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
621621073e85a@ag.dmarcly.com,storeganise.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
621621073e85a@fo.dmarcly.com,storeganise.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
6239bb20763e2@ag.dmarcly.com,signal-ai.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
6239bb20763e2@fo.dmarcly.com,signal-ai.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
637b4ae1e7671@ag.dmarcly.com,archilogic.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
637b4ae1e7671@fo.dmarcly.com,archilogic.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
63ab51472f5b4@ag.dmarcly.com,standardmetrics.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
63ab51472f5b4@fo.dmarcly.com,standardmetrics.io,tier1-2-dns:dmarc_ruf,,host-not-same-domain
649dc90f084f5@ag.dmarcly.com,getmontecarlo.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
649dc90f084f5@fo.dmarcly.com,getmontecarlo.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
653a4112939cf@dmarc.centerasecurity.com,coolshop.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
65e5705637933@ag.eu.dmarcly.com,inderes.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
65e5705637933@fo.eu.dmarcly.com,inderes.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
65f30d82d54ac@ag.dmarcly.com,allianceabroad.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
65f30d82d54ac@fo.dmarcly.com,allianceabroad.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
661e07907a21b@ag.dmarcly.com,tradeshift.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
661e07907a21b@fo.dmarcly.com,tradeshift.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
662fa307ec624@ag.dmarcly.com,databox.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
662fa307ec624@fo.dmarcly.com,databox.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
672d1590d4298@ag.dmarcly.com,vidiq.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
672d1590d4298@fo.dmarcly.com,vidiq.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
69b07517@forensics.dmarc-report.com,lilt.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
69b07517@mxtoolbox.dmarc-report.com,lilt.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
6a32161d@forensics.dmarc-report.com,superoffice.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
6a32161d@mxtoolbox.dmarc-report.com,superoffice.com,tier1-2-dns:dmarc_rua,,host-not-same-domain
6b31c78d44@rua.easydmarc.us,patch.io,tier1-2-dns:dmarc_rua,,host-not-same-domain
6bd0bfcf@forensics.dmarc-report.com,sproutsocial.com,tier1-2-dns:dmarc_ruf,,host-not-same-domain
