domain,email,tier,tier_label
100hires.com,support@100hires.com,S8,Support / help
1up.ai,security@1up.ai,S2,Security
3doptix.com,support@3doptix.com,S8,Support / help
3i.ai,questions@3i.ai,S9,Generic info / contact
4degrees.ai,info@4degrees.ai,S9,Generic info / contact
5centscdn.net,support@5centscdn.net,S8,Support / help
8m.eu,info@8m.eu,S9,Generic info / contact
99c.co.za,info@99c.co.za,S9,Generic info / contact
aajil.sa,info@aajil.sa,S9,Generic info / contact
abacum.ai,security@abacum.ai,S2,Security
abacum.ai,support@abacum.ai,S8,Support / help
abclegal.com,internationalinfo@abclegal.com,S9,Generic info / contact
abundolive.se,support@abundolive.se,S8,Support / help
abundolive.se,info@abundolive.se,S9,Generic info / contact
accelera.tech,info@accelera.tech,S9,Generic info / contact
accessowl.com,security@accessowl.com,S2,Security
accessowl.com,support@accessowl.com,S8,Support / help
acclinate.com,support@acclinate.com,S8,Support / help
acclinate.com,info@acclinate.com,S9,Generic info / contact
aceworks.ai,support@aceworks.ai,S8,Support / help
aclarian.com,support@aclarian.com,S8,Support / help
aclarian.com,info@aclarian.com,S9,Generic info / contact
adalo.com,security@adalo.com,S2,Security
adalo.com,support@adalo.com,S8,Support / help
adologyai.com,hello@adologyai.com,S9,Generic info / contact
adomik.com,security@adomik.com,S2,Security
adopt.ai,security@adopt.ai,S2,Security
adopt.ai,info@adopt.ai,S9,Generic info / contact
adp.com,vulnerabilityreporting@adp.com,S0,Bug bounty / VDP
adplenty.io,contact@adplenty.io,S9,Generic info / contact
adplist.org,support@adplist.org,S8,Support / help
adscale.com,support@adscale.com,S8,Support / help
adthena.com,support@adthena.com,S8,Support / help
adthena.com,info@adthena.com,S9,Generic info / contact
adthena.com,ninfo@adthena.com,S9,Generic info / contact
adverteyes.ai,info@adverteyes.ai,S9,Generic info / contact
adzen.ai,support@adzen.ai,S8,Support / help
affinity.co,support@affinity.co,S8,Support / help
affinity.co,info@affinity.co,S9,Generic info / contact
affise.com,support@affise.com,S8,Support / help
agency.inc,services@agency.inc,S8,Support / help
agenticflow.ai,support@agenticflow.ai,S8,Support / help
agicap.com,bugbounty@agicap.com,S0,Bug bounty / VDP
ahaslides.com,hi@ahaslides.com,S9,Generic info / contact
aheadcomputing.com,info@aheadcomputing.com,S9,Generic info / contact
aibox.ai,security@aibox.ai,S2,Security
aibox.ai,support@aibox.ai,S8,Support / help
aico.swiss,support@aico.swiss,S8,Support / help
airframe.ai,hello@airframe.ai,S9,Generic info / contact
airpay.co.in,customercare@airpay.co.in,S8,Support / help
airpay.co.in,customerservice@airpay.co.in,S8,Support / help
airsaas.io,security@airsaas.io,S2,Security
airtable.com,security@airtable.com,S2,Security
aiseo.ai,support@aiseo.ai,S8,Support / help
akamai.com,security@akamai.com,S2,Security
akiflow.com,support@akiflow.com,S8,Support / help
alamah.om,info@alamah.om,S9,Generic info / contact
alchemy.com,certmaster@alchemy.com,S1,PSIRT / CERT / SOC
alchemy.com,security@alchemy.com,S2,Security
alchemy.com,support@alchemy.com,S8,Support / help
alegra.com,support@alegra.com,S8,Support / help
alegra.com,info@alegra.com,S9,Generic info / contact
alex.com,support@alex.com,S8,Support / help
algolia.com,security@algolia.com,S2,Security
allbridge.io,support@allbridge.io,S8,Support / help
allbridge.io,info@allbridge.io,S9,Generic info / contact
allegrow.co,info@allegrow.co,S9,Generic info / contact
allianceabroad.com,africainfo@allianceabroad.com,S9,Generic info / contact
allocate.co,security@allocate.co,S2,Security
alloy.app,security@alloy.app,S2,Security
alloy.app,support@alloy.app,S8,Support / help
allunite.com,info@allunite.com,S9,Generic info / contact
altertable.ai,security@altertable.ai,S2,Security
altfndata.com,support@altfndata.com,S8,Support / help
altfndata.com,info@altfndata.com,S9,Generic info / contact
altuspower.com,security@altuspower.com,S2,Security
altuspower.com,hello@altuspower.com,S9,Generic info / contact
amalgamrx.com,contact@amalgamrx.com,S9,Generic info / contact
amass.tech,support@amass.tech,S8,Support / help
amass.tech,hello@amass.tech,S9,Generic info / contact
ambarpartners.com,security@ambarpartners.com,S2,Security
amityage.com,hello@amityage.com,S9,Generic info / contact
amityage.com,info@amityage.com,S9,Generic info / contact
ammp.io,security@ammp.io,S2,Security
ammp.io,hello@ammp.io,S9,Generic info / contact
ammp.io,info@ammp.io,S9,Generic info / contact
amove.io,contact@amove.io,S9,Generic info / contact
amperity.com,security@amperity.com,S2,Security
amplifier.com,security@amplifier.com,S2,Security
amplitude.com,security@amplitude.com,S2,Security
amplitude.com,support@amplitude.com,S8,Support / help
amplitude.com,scholarship@amplitude.com,S9,Generic info / contact
amt.ai,support@amt.ai,S8,Support / help
and.com,hello@and.com,S9,Generic info / contact
ando.so,hello@ando.so,S9,Generic info / contact
aneon.at,security@aneon.at,S2,Security
aneon.at,info@aneon.at,S9,Generic info / contact
animaj.com,security@animaj.com,S2,Security
antbuddy.com,info@antbuddy.com,S9,Generic info / contact
antimetal.com,security@antimetal.com,S2,Security
antimetal.com,support@antimetal.com,S8,Support / help
apaleo.com,security@apaleo.com,S2,Security
aparti.ai,security@aparti.ai,S2,Security
aparti.ai,support@aparti.ai,S8,Support / help
apicbase.com,support@apicbase.com,S8,Support / help
apify.com,security@apify.com,S2,Security
apify.com,hello@apify.com,S9,Generic info / contact
apono.io,security@apono.io,S2,Security
apono.io,support@apono.io,S8,Support / help
appcues.com,security@appcues.com,S2,Security
appcues.com,support@appcues.com,S8,Support / help
appflow.ai,info@appflow.ai,S9,Generic info / contact
applypass.com,support@applypass.com,S8,Support / help
arcade.software,support@arcade.software,S8,Support / help
arcade.software,info@arcade.software,S9,Generic info / contact
archera.ai,support@archera.ai,S8,Support / help
archera.ai,info@archera.ai,S9,Generic info / contact
archera.ai,nikhil@archera.ai,S9,Generic info / contact
archilogic.com,security@archilogic.com,S2,Security
