domain,email,tier,score,sources,source_url
100hires.com,privacy@100hires.com,B,3,direct,https://100hires.com/security.html
100hires.com,support@100hires.com,B,3,direct,https://100hires.com/
3i.ai,questions@3i.ai,B,3,direct,https://www.3i.ai/
4degrees.ai,info@4degrees.ai,B,3,direct,https://www.4degrees.ai/contact
58pic.com,feedback@58pic.com,B,3,direct,https://www.58pic.com/
8m.eu,cerny@8m.eu,B,3,direct,https://8m.eu/
8m.eu,duch@8m.eu,B,3,direct,https://8m.eu/
8m.eu,duskova@8m.eu,B,3,direct,https://8m.eu/
8m.eu,hlavacek@8m.eu,B,3,direct,https://8m.eu/
8m.eu,hrstka@8m.eu,B,3,direct,https://8m.eu/
8m.eu,info@8m.eu,B,3,direct,https://8m.eu/
8m.eu,koblovsky@8m.eu,B,3,direct,https://8m.eu/
8m.eu,lukasek@8m.eu,B,3,direct,https://8m.eu/
8m.eu,majda@8m.eu,B,3,direct,https://8m.eu/
8m.eu,okuliar@8m.eu,B,3,direct,https://8m.eu/
8m.eu,olah@8m.eu,B,3,direct,https://8m.eu/
8m.eu,pechotova@8m.eu,B,3,direct,https://8m.eu/
8m.eu,selep@8m.eu,B,3,direct,https://8m.eu/
99c.co.za,abuse@99c.co.za,A,5,direct,https://www.99c.agency/privacy-policy/
99c.co.za,info@99c.co.za,B,3,direct,https://www.99c.agency/
99c.co.za,werner.terblanche@99c.co.za,B,3,direct,https://www.99c.agency/privacy-policy/
abclegal.com,internationalinfo@abclegal.com,B,3,direct,https://www.abclegal.com/contact
abclegal.com,privacy@abclegal.com,B,3,direct,https://www.abclegal.com:443/privacy
abclegal.com,sales@abclegal.com,B,3,direct,https://www.abclegal.com:443/privacy
absoluteinvestimentos.com.br,cv@absoluteinvestimentos.com.br,B,3,direct,https://absoluteinvestimentos.com.br/
abundolive.se,info@abundolive.se,B,3,direct,https://abundolive.se/privacy
abundolive.se,support@abundolive.se,B,3,direct,https://abundolive.se/terms
accelera.tech,info@accelera.tech,B,3,direct,https://accelera.tech/
acclinate.com,compliance@acclinate.com,B,3,direct,https://www.acclinate.com/privacy
acclinate.com,info@acclinate.com,B,3,direct,https://www.acclinate.com/privacy
aceworks.ai,recruit@aceworks.ai,B,3,direct,https://www.aceworks.ai/contact
aceworks.ai,support@aceworks.ai,B,3,direct,https://www.aceworks.ai/
aclarian.com,alaflin@aclarian.com,B,3,direct,https://aclarian.com/security
