domain,top_email,tier,score,source_count,sources,source_urls,top_snippet,all_candidates
1000ps.at,,,0,0,,,,
100hires.com,privacy@100hires.com,B,3,1,direct,https://100hires.com/security.html,"PIPEDA, Quebec Law 25, Alberta PIPA, and BC PIPA. Our Privacy Officer is Alex Kravets, reachable at privacy@100hires.com, and a DPA covering PIPEDA and Law 25 terms is available on request. For candid","privacy@100hires.com(B,3,direct); support@100hires.com(B,3,direct)"
1up.ai,,,0,0,,,,
2cloudnine.com,,,0,0,,,,
30x.com,,,0,0,,,,
3doptix.com,,,0,0,,,,
3i.ai,questions@3i.ai,B,3,1,direct,https://www.3i.ai/ | https://www.3i.ai/about/security,"7843-5111</p> <p class=""font_7 wixui-rich-text__text""><a data-auto-recognition=""true"" href=""mailto:questions@3i.ai"" class=""wixui-rich-text__text"">questions@3i.ai</a></p></div><!--/$--><!--$--><div id=","questions@3i.ai(B,3,direct)"
4degrees.ai,info@4degrees.ai,B,3,1,direct,https://www.4degrees.ai/contact,"know using this form, or via email.<br/></p><div class=""contact-info-cards-wrapper""><a href=""mailto:info@4degrees.ai"" class=""contact-info-card w-inline-block""><div class=""contact-info-card-icon""><div ","info@4degrees.ai(B,3,direct)"
58pic.com,feedback@58pic.com,B,3,1,direct,https://www.58pic.com/,"=""_blank""rel=""nofollow"">企业服务咨询</a></div><p class=""text""><i class=""icon icon-dibu-youxiangxinxi""></i>feedback@58pic.com</p><div class=""media-account-box""><div class=""account-item""><i class=""icon icon-x","feedback@58pic.com(B,3,direct)"
5centscdn.net,,,0,0,,,,
8m.eu,cerny@8m.eu,B,3,1,direct,https://8m.eu/,".84 12.84 0 0 0 2.81.7A2 2 0 0 1 22 16.92z""/></svg>+420 770 681 600</a> <a href=""mailto:cerny@8m.eu""><svg viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2""><path d=""M4 4h16c1.1 0","cerny@8m.eu(B,3,direct); duch@8m.eu(B,3,direct); duskova@8m.eu(B,3,direct); hlavacek@8m.eu(B,3,direct); hrstka@8m.eu(B,3,direct); info@8m.eu(B,3,direct)"
99c.co.za,abuse@99c.co.za,A,5,1,direct,https://www.99c.agency/privacy-policy/,"eve we are using your personal information unlawfully, please let us know first (on <a href=""mailto:abuse@99c.co.za"">abuse@99c.co.za</a> or 021 460 5299). You may lodge a complaint to the Information ","abuse@99c.co.za(A,5,direct); info@99c.co.za(B,3,direct); werner.terblanche@99c.co.za(B,3,direct)"
aajil.sa,,,0,0,,,,
abacum.ai,,,0,0,,,,
abatable.com,,,0,0,,,,
abclegal.com,internationalinfo@abclegal.com,B,3,1,direct,https://www.abclegal.com/contact | https://www.abclegal.com:443/ | https://www.abclegal.com:443/contact,"ide the US?</strong><br>In most cases, yes. Please reach out to our International team via email to internationalinfo@abclegal.com to find out if we can serve where you need.</li> <li><strong>Why is m","internationalinfo@abclegal.com(B,3,direct); privacy@abclegal.com(B,3,direct); sales@abclegal.com(B,3,direct)"
abill.io,,,0,0,,,,
absoluteinvestimentos.com.br,cv@absoluteinvestimentos.com.br,B,3,1,direct,https://absoluteinvestimentos.com.br/,"ht;text-transform: none"" class=""vc_custom_heading cv_email vc_custom_1592004693884""><a href=""mailto:cv@absoluteinvestimentos.com.br"" target="" _blank"">cv@absoluteinvestimentos.com.br</a></p></div></div","cv@absoluteinvestimentos.com.br(B,3,direct)"
