domain,emails,security_txt_url
accessowl.com,security@accessowl.com,https://www.accessowl.com/.well-known/security.txt
agicap.com,bugbounty@agicap.com,https://agicap.com/.well-known/security.txt
airtable.com,security@airtable.com,https://airtable.com/.well-known/security.txt
akamai.com,security@akamai.com; abuse@akamai.com,https://akamai.com/.well-known/security.txt
allaboard.eu,tech@allaboard.eu,https://allaboard.eu/security.txt
altertable.ai,security@altertable.ai,https://altertable.ai/.well-known/security.txt
amplitude.com,security@amplitude.com,https://amplitude.com/.well-known/security.txt
apify.com,security@apify.com,https://apify.com/.well-known/security.txt
appcues.com,security@appcues.com,https://appcues.com/security.txt
articulate.com,security-disclosure@articulate.com,https://articulate.com/.well-known/security.txt
asana.com,security@asana.com,https://asana.com/.well-known/security.txt
atlan.com,security@atlan.com,https://atlan.com/.well-known/security.txt
bloomberg.com,reportvuln@bloomberg.net,https://bloomberg.com/.well-known/security.txt
bloomreach.com,securityreporting@bloomreach.com,https://bloomreach.com/security.txt
bounceinsights.com,security@bounceinsights.com,https://bounceinsights.com/.well-known/security.txt
brale.xyz,security@brale.xyz,https://brale.xyz/.well-known/security.txt
brandient.com,admin@brandient.com,https://brandient.com/.well-known/security.txt
cabsin.org.br,admin@cabsin.org.br,https://cabsin.org.br/.well-known/security.txt
caffeine.ai,security@caffeine.ai,https://caffeine.ai/.well-known/security.txt
calendly.com,security@calendly.com,https://calendly.com/.well-known/security.txt
chainels.com,help@chainels.com,https://chainels.com/.well-known/security.txt
classdojo.com,security@classdojo.com,https://classdojo.com/.well-known/security.txt
commonroom.io,security@commonroom.io,https://commonroom.io/.well-known/security.txt
contentful.com,security@contentful.com,https://www.contentful.com/.well-known/security.txt
copilot.money,security@copilot.money,https://copilot.money/.well-known/security.txt
cumbuca.com,security@cumbuca.com,https://cumbuca.com/.well-known/security.txt
dataprovider.com,security@dataprovider.com; branbergen@dataprovider.com,https://www.dataprovider.com/security.txt
datocms.com,security@datocms.com,https://datocms.com/.well-known/security.txt
deapi.ai,security@gamerhash.com,https://deapi.ai/.well-known/security.txt
demostack.com,security@demostack.com,https://www.demostack.com/.well-known/security.txt
deskfirst.com,data@deskfirst.com,https://www.deskfirst.com/.well-known/security.txt
devcycle.com,security@devcycle.com,https://devcycle.com/.well-known/security.txt
dodopayments.com,security@dodopayments.com; support@dodopayments.com,https://dodopayments.com/.well-known/security.txt
dronedeploy.com,security@dronedeploy.com,https://dronedeploy.com/security.txt
dropcontact.com,security@dropcontact.com,https://dropcontact.com/.well-known/security.txt
dukascopy.com,security@dukascopy.com,https://dukascopy.com/.well-known/security.txt
easydmarc.com,security@easydmarc.us,https://easydmarc.com/security.txt
effectix.com,support@b-m.cz,https://effectix.com/security.txt
elnora.ai,security@elnora.ai,https://elnora.ai/.well-known/security.txt
enigma.com,security@enigma.com,https://enigma.com/.well-known/security.txt
entri.com,security@entri.com,https://www.entri.com/.well-known/security.txt
epcvip.com,security-reports@epcvip.com,https://epcvip.com/.well-known/security.txt
eventship.com,security@eventship.com,https://eventship.com/.well-known/security.txt
expo.dev,vulnerability-disclosures@expo.dev,https://expo.dev/.well-known/security.txt
ezekia.com,securityteam@ezekia.com,https://ezekia.com/.well-known/security.txt
fed10.ai,security@fed10.ai,https://fed10.ai/security.txt
feedly.com,security@feedly.com,https://feedly.com/.well-known/security.txt
forte.co.nz,hi@ghost.st,https://forte.co.nz/.well-known/security.txt
frontapp.com,security@front.com,https://frontapp.com/.well-known/security.txt
gdenergyproducts.com,user@example.com,https://gdenergyproducts.com/.well-known/security.txt
gocardless.com,vuln-disc@gocardless.com,https://gocardless.com/.well-known/security.txt
goflink.com,it-security@goflink.com,https://goflink.com/.well-known/security.txt
gotobeat.com,security@gotobeat.com,https://gotobeat.com/.well-known/security.txt
granola.ai,security@granola.so,https://www.granola.ai/.well-known/security.txt
hadrian.io,security@hadrian.io,https://hadrian.io/.well-known/security.txt
handelsblatt.com,security@handelsblattgroup.com,https://handelsblatt.com/.well-known/security.txt
heygen.com,security@heygen.com,https://heygen.com/.well-known/security.txt
higgsfield.ai,security@higgsfield.ai,https://higgsfield.ai/.well-known/security.txt
holidu.com,security@holidu.com,https://holidu.com/.well-known/security.txt
hubspot.com,security-notifications@hubspot.com,https://hubspot.com/.well-known/security.txt
hubstaff.com,security@hubstaff.com,https://hubstaff.com/.well-known/security.txt
hundredx.com,security@hundredx.com,https://hundredx.com/.well-known/security.txt
incident.io,security@incident.io,https://incident.io/.well-known/security.txt
infakt.pl,bugbounty@infakt.pl,https://infakt.pl/.well-known/security.txt
instrumentl.com,security@instrumentl.com,https://instrumentl.com/.well-known/security.txt
intacct.com,security@sage.com; soc@sage.com,https://www.intacct.com/.well-known/security.txt
intercom.com,security@intercom.com,https://intercom.com/.well-known/security.txt
interdiscount.ch,security@coop.ch,https://interdiscount.ch/.well-known/security.txt
karbonhq.com,security@karbonhq.com,https://karbonhq.com/.well-known/security.txt
keboola.com,security@keboola.com,https://keboola.com/.well-known/security.txt
kobana.com.br,seguranca@kobana.com.br,https://kobana.com.br/.well-known/security.txt
lawvu.com,security@lawvu.com,https://lawvu.com/.well-known/security.txt
leadmagic.io,security@leadmagic.io,https://leadmagic.io/.well-known/security.txt
letsweel.com,help@letsweel.com,https://letsweel.com/.well-known/security.txt
linear.app,security@linear.app,https://linear.app/.well-known/security.txt
lockchain.ai,security@lockchain.ai,https://lockchain.ai/security.txt
lovable.dev,vulnerability-disclosure@lovable.dev,https://lovable.dev/.well-known/security.txt
ludusengine.com,security@ludusengine.com,https://ludusengine.com/.well-known/security.txt
luma.com,security@luma.com,https://luma.com/.well-known/security.txt
megaport.com,vulnerability.disclosure@megaport.com,https://megaport.com/.well-known/security.txt
meisterlabs.com,security@meisterlabs.com,https://meisterlabs.com/.well-known/security.txt
meistertask.com,security@meisterlabs.com,https://meistertask.com/.well-known/security.txt
mercadolibre.com,bugbounty@mercadolibre.com,https://mercadolibre.com/security.txt
mindmeister.com,security@meisterlabs.com,https://mindmeister.com/.well-known/security.txt
mittwald.de,security@mittwald.de; abuse@mittwald.de,https://mittwald.de/.well-known/security.txt
mixpanel.com,bugbounty@mixpanel.com; security@mixpanel.com,https://mixpanel.com/.well-known/security.txt
omnidim.io,security@omnidim.io,https://omnidim.io/.well-known/security.txt
onepeloton.com,secure@onepeloton.com,https://www.onepeloton.com/security.txt
onlyoffice.com,security@onlyoffice.com,https://onlyoffice.com/.well-known/security.txt
orderful.com,security@orderful.com,https://www.orderful.com/.well-known/security.txt
osaas.io,contact@support.osaas.io,https://www.osaas.io/.well-known/security.txt
outlit.ai,security@outlit.ai; leo@outlit.ai,https://outlit.ai/.well-known/security.txt
padlet.com,hello@padlet.com,https://padlet.com/.well-known/security.txt
pipe17.com,security@pipe17.com,https://pipe17.com/.well-known/security.txt
plaud.ai,security@plaud.ai,https://plaud.ai/.well-known/security.txt
postman.com,security@postman.com,https://postman.com/.well-known/security.txt
prisma.io,security@prisma.io,https://www.prisma.io/.well-known/security.txt
prismatic.io,security@prismatic.io,https://prismatic.io/.well-known/security.txt
privacy.com,vdp@privacy.com,https://privacy.com/security.txt
propper.ai,security@propper.ai,https://propper.ai/.well-known/security.txt
public.com,security@public.com,https://public.com/security.txt
questionpro.com,vulnerability@questionpro.com,https://questionpro.com/.well-known/security.txt
ramp.com,security-external@ramp.com,https://ramp.com/.well-known/security.txt
razorpay.com,disclosures@razorpay.com,https://razorpay.com/security.txt
redbuttonedu.cz,security@solidpixels.com,https://redbuttonedu.cz/.well-known/security.txt
rootly.com,security@rootly.com,https://rootly.com/.well-known/security.txt
rye.com,security@rye.com,https://rye.com/.well-known/security.txt
safetyculture.com,security@safetyculture.com,https://safetyculture.com/.well-known/security.txt
salesmanago.com,security-team@salesmanago.com,https://salesmanago.com/security.txt
sanity.io,security@sanity.io,https://sanity.io/.well-known/security.txt
searchatlas.com,security@searchatlas.com,https://searchatlas.com/.well-known/security.txt
sendpulse.com,support@sendpulse.com,https://sendpulse.com/security.txt
sendsquared.com,hello@sendsquared.com,https://sendsquared.com/.well-known/security.txt
seqera.io,security@seqera.io,https://seqera.io/.well-known/security.txt
socialchamp.com,hello@socialchamp.com,https://socialchamp.com/.well-known/security.txt
socket.dev,security@socket.dev,https://socket.dev/.well-known/security.txt
sodagift.com,it.admin@sodacrew.com,https://sodagift.com/.well-known/security.txt
stacklist.com,help@stacklist.com,https://stacklist.com/.well-known/security.txt
stormrecruit.com,abuse@landingsite.ai,https://stormrecruit.com/.well-known/security.txt
straddle.com,support@straddle.com,https://straddle.com/.well-known/security.txt
sumup.com,bugbounty@sumup.com,https://sumup.com/.well-known/security.txt
supermetrics.com,security@supermetrics.com,https://supermetrics.com/.well-known/security.txt
tailorhq.ai,security@tailorhq.ai,https://tailorhq.ai/.well-known/security.txt
talproindia.com,security@talproindia.com; abuse@talproindia.com,https://talproindia.com/.well-known/security.txt
timesheet.io,office@timesheet.io,https://timesheet.io/.well-known/security.txt
tiro.ooo,partners@theplato.io,https://tiro.ooo/.well-known/security.txt
tripletex.no,security@visma.com,https://tripletex.no/.well-known/security.txt
tryprofound.com,security@tryprofound.com,https://www.tryprofound.com/.well-known/security.txt
tryscott.ai,security@tryscott.ai,https://tryscott.ai/.well-known/security.txt
