domain,soa_rname,caa_iodef,dmarc_rua,dmarc_ruf,security_at_status,abuse_at_status,catch_all,mx_count
1000ps.at,hostmaster@drei.host,,dmarc@1000ps.at,,rejected,accepted,False,5
100hires.com,dns@cloudflare.com,,support@100hires.com; support@100hires.com,,rejected,accepted,False,6
1up.ai,dns@jomax.net,,,,accepted,accepted,False,5
2cloudnine.com,awsdns-hostmaster@amazon.com,,dmarc@2cloudnine.com,,rejected,accepted,False,5
30x.com,cloud-dns-hostmaster@google.com,,dmarc_rua@onsecureserver.net,,accepted(catch-all),accepted(catch-all),True,5
3doptix.com,awsdns-hostmaster@amazon.com,,nitay.ey@3doptix.com; support@3doptix.com; devops@3doptix.com,nitay.ey@3doptix.com; support@3doptix.com; devops@3doptix.com,rejected,accepted,False,5
3i.ai,awsdns-hostmaster@amazon.com,,,,accepted(catch-all),accepted(catch-all),True,5
4degrees.ai,cloud-dns-hostmaster@google.com,,founders@4degrees.ai,founders@4degrees.ai,accepted(catch-all),accepted(catch-all),True,5
58pic.com,enterprise2dnsadmin@dnspod.com,,,,accepted(catch-all),accepted(catch-all),True,2
5centscdn.net,dns@cloudflare.com,,dm@5centscdn.com,dm@5centscdn.com,mx-unreachable,mx-unreachable,None,1
8m.eu,admin@forpsi.com,,,,rejected,rejected,False,1
99c.co.za,support@afrihost.com,,dmarc@99c.co.za,dmarc@99c.co.za,temp-fail,temp-fail,False,2
aajil.sa,dns@cloudflare.com,,,,accepted(catch-all),accepted(catch-all),True,1
abacum.ai,awsdns-hostmaster@amazon.com,,dmarc-report@abacum.ai,,accepted,accepted,False,1
abatable.com,dns@cloudflare.com,,dmarc-reports@abatable.com,,accepted(catch-all),accepted(catch-all),True,5
abclegal.com,awsdns-hostmaster@amazon.com,,150a814e81@rua.easydmarc.us,150a814e81@ruf.easydmarc.us,accepted(catch-all),accepted(catch-all),True,2
abill.io,dns@cloudflare.com,,rua@dmarc.brevo.com,,rejected,accepted,False,6
absoluteinvestimentos.com.br,awsdns-hostmaster@amazon.com,,dmarc@msotecnologia.com.br,dmarc@msotecnologia.com.br,rejected,rejected,False,1
abundolive.se,awsdns-hostmaster@amazon.com,,xavi.gratal@abundolive.se,,rejected,accepted,False,5
accelera.tech,dns@jomax.net,,dmarc@accelera.tech,dmarc@accelera.tech,rejected,rejected,False,1
acclinate.com,namehost@WORLDNIC.com,,,support@acclinate.com,accepted(catch-all),accepted(catch-all),True,1
aceworks.ai,support@wix.com,,,,rejected,accepted,False,5
aclarian.com,dns@jomax.net,,roebuckadmin@aclarian.com,,rejected,rejected,False,1
adalo.com,awsdns-hostmaster@amazon.com,,dmarc-reports@adalo.com,,accepted,accepted,False,5
adaptic.no,hostmaster@no.brand.one.com,,,,rejected,rejected,False,1
adlabs.app,dns@cloudflare.com,,b5f4a54f983a4417a3f4d43db10c873e@dmarc-reports.cloudflare.net,,rejected,accepted,False,5
